Top Trials,Trial #,F1 Score,num_capas_ocultas,optimizador,tasa_aprendizaje,tamaño_lote,peso_BLL,peso_FSRQ,peso_NoAGN,peso_OtroAGN,unidades_capa_0,activación_capa_0,tasa_abandono_capa_0,unidades_capa_1,activación_capa_1,tasa_abandono_capa_1,unidades_capa_2,activación_capa_2,tasa_abandono_capa_2,unidades_capa_3,activación_capa_3,tasa_abandono_capa_3,unidades_capa_4,activación_capa_4,tasa_abandono_capa_4
1,351,0.8485907825163527,4,AdamW,0.000273854,81,1.7934758584743657,4.329571385425013,4.098691988236785,16.023950163947294,136,selu,0.1,41,relu,0,83,gelu,0.15000000000000002,74,relu,0.45,,,
2,274,0.8484689856101473,5,AdamW,0.000423156,54,1.8142316789668973,4.417229136526587,3.8577208177748545,16.517013363240196,138,relu,0.15000000000000002,44,elu,0,76,gelu,0.1,62,relu,0.35000000000000003,106,relu,0.1
3,146,0.8482009296221911,5,Nadam,0.000836354,46,1.6861292752948762,4.626399233327085,4.106435309701364,21.177524384438644,145,relu,0.15000000000000002,82,selu,0.1,41,relu,0,82,gelu,0.4,90,selu,0.30000000000000004
4,149,0.8470322016333716,5,Nadam,0.0008994,49,1.7070145642815069,4.095385169224491,3.951290873245649,18.469242525434435,138,relu,0.2,97,selu,0.1,39,relu,0,92,gelu,0.30000000000000004,93,selu,0.30000000000000004
5,301,0.8466816552873717,4,AdamW,0.000246777,77,1.705445837789111,3.9064718035273325,4.047903364251497,15.916248020920962,137,relu,0.1,45,elu,0,83,gelu,0.05,129,relu,0.4,,,
6,331,0.8464489779489769,4,AdamW,0.000381634,86,1.7044371397559555,4.254082849488138,3.9194030804171427,16.796595162856967,135,relu,0.05,48,gelu,0,94,gelu,0.05,138,relu,0.4,,,
7,175,0.8460833479452503,5,Nadam,0.000757503,51,1.9320020976564158,4.344594055197451,4.021147551897464,17.804897766047915,147,tanh,0.2,83,selu,0.1,45,gelu,0,81,gelu,0.30000000000000004,56,relu,0.25
8,277,0.8459162420954147,5,AdamW,0.000332902,57,1.6812123793935432,4.2513110657649165,3.9013953612202568,16.557991685730972,139,relu,0.15000000000000002,47,elu,0,78,gelu,0.1,63,relu,0.35000000000000003,108,relu,0.1
9,298,0.8458675304751877,4,AdamW,0.000249993,83,1.7122687654468716,4.171523300911514,3.867416066182981,13.757745056390984,143,relu,0.1,38,elu,0,81,gelu,0.05,129,relu,0.4,,,
10,382,0.8458103769126841,4,AdamW,0.000137548,49,1.9334065704085592,4.3693454395579705,4.231744832,16.56668201843868,142,relu,0.15000000000000002,40,elu,0,39,gelu,0.2,67,relu,0.4,,,
11,300,0.8456958599035027,4,AdamW,0.000293432,86,1.7140198931463886,4.042834682946003,4.030362884820874,13.80070948862774,136,relu,0.1,47,elu,0,85,gelu,0.05,131,relu,0.4,,,
12,295,0.8456565610968241,4,AdamW,0.000328736,80,1.6905368643173369,4.146715411,3.9622893489122384,13.742621614153615,142,relu,0.1,49,elu,0,79,gelu,0.05,129,relu,0.4,,,
13,215,0.8454295049871188,5,Nadam,0.000873997,51,2.175913936442548,4.415227948547348,3.9457298817182753,18.175107405141624,140,tanh,0.25,84,selu,0.1,41,gelu,0,82,gelu,0.25,76,relu,0.25
14,317,0.8444420236170739,4,AdamW,0.000298037,80,1.6881828358398294,4.186277600055078,3.827097757775684,16.06335969100012,139,relu,0.1,46,elu,0,88,gelu,0.05,134,relu,0.4,,,
15,404,0.8440626340626342,4,RMSprop,0.000267453,80,1.9949991576192705,4.491890574062841,4.195978223196721,15.413384876362976,143,relu,0,46,selu,0.05,146,gelu,0.05,147,relu,0.2,,,
16,117,0.8439837737531126,5,AdamW,0.000544352,59,2.6400645762190855,4.540826350156323,3.9836186733397536,20.539957248068028,139,relu,0.25,48,selu,0.1,68,relu,0,65,gelu,0.4,87,selu,0.4
17,254,0.8439174979010152,5,AdamW,0.000555673,57,1.4528560112247977,4.470217081076267,4.386523083113193,18.88130482424076,136,relu,0.2,47,selu,0.05,78,gelu,0.1,66,relu,0.35000000000000003,99,relu,0.1
18,99,0.843902086,5,AdamW,0.000206222,52,3.289639037,4.227108150876267,4.073506297757863,18.378108975917577,144,relu,0.2,46,elu,0,65,relu,0.1,66,gelu,0.45,126,gelu,0.1
19,261,0.843777799,4,AdamW,0.000579512,52,1.620658537500906,4.539573528626582,3.9275092732310943,19.057004954307768,136,relu,0.2,49,selu,0,79,gelu,0.1,72,relu,0.35000000000000003,,,
20,303,0.8437076047512153,4,AdamW,0.000244321,77,1.714326849025213,3.9134247175050065,3.7790949667021763,13.899141362603004,142,relu,0.1,36,elu,0,82,gelu,0.05,129,relu,0.4,,,
21,194,0.8434787666756333,5,Nadam,0.000784193,47,1.8956442019836621,4.585109924597886,3.9432047788455473,20.14526159456101,145,tanh,0.2,85,selu,0.1,49,relu,0,82,gelu,0.30000000000000004,79,relu,0.30000000000000004
22,101,0.8434667904703926,5,AdamW,0.000267074,54,3.264051900117892,4.488790496997607,3.9687745090462614,19.968947303081215,143,relu,0.2,38,elu,0.05,64,relu,0.15000000000000002,74,gelu,0.45,130,gelu,0.1
23,153,0.8434376559443638,5,Nadam,0.000951875,51,1.8456689711234502,4.405051484208172,3.9632985022595024,18.407020568872607,137,relu,0.2,87,selu,0.1,35,relu,0,84,gelu,0.35000000000000003,83,selu,0.30000000000000004
24,283,0.8433116953669707,5,AdamW,0.00028071,57,1.7214888678234253,4.177417909462145,3.7597002774087915,15.98755249272499,140,gelu,0.15000000000000002,52,elu,0.05,73,gelu,0.1,71,relu,0.35000000000000003,111,relu,0.15000000000000002
25,293,0.843050067,4,AdamW,0.000368207,81,1.648233284517909,4.170073209700688,3.960744252005745,16.939641975264184,142,relu,0.15000000000000002,52,elu,0,76,gelu,0.05,130,relu,0.4,,,
